https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1728518400000,2024-10-10,ETHUSDT,2369.6,2421.5,2329.44,2385.24,2863209.6760000004,6818678392.31371,3597279
1728432000000,2024-10-09,ETHUSDT,2439.84,2472.9,2350.0,2369.6,2689510.5930000003,6518443895.417029,3351701
1728345600000,2024-10-08,ETHUSDT,2421.75,2466.63,2400.01,2439.84,2262736.2830000003,5503261413.71323,3114112
1728259200000,2024-10-07,ETHUSDT,2438.76,2520.25,2401.08,2421.75,3345508.6119999997,8255869954.96215,3859018
1728172800000,2024-10-06,ETHUSDT,2413.42,2457.11,2405.76,2438.77,1219434.738,2965206689.83741,1662789
1728086400000,2024-10-05,ETHUSDT,2413.38,2427.94,2388.66,2413.42,1103480.476,2659364171.76931,1634536
1728000000000,2024-10-04,ETHUSDT,2348.74,2440.0,2338.27,2413.38,2533506.8340000003,6057108558.063829,3367064
1727913600000,2024-10-03,ETHUSDT,2363.0,2402.29,2308.09,2348.74,3190067.0710000005,7492256044.288341,4606050
1727827200000,2024-10-02,ETHUSDT,2446.85,2498.0,2350.0,2363.0,3570103.3439999996,8682380285.25884,4876678
1727740800000,2024-10-01,ETHUSDT,2601.49,2658.63,2412.4,2446.85,4639427.429,11757705807.87982,5506567
1727654400000,2024-09-30,ETHUSDT,2656.3,2662.81,2572.82,2601.49,2859601.7430000002,7479243412.386021,3737190
1727568000000,2024-09-29,ETHUSDT,2673.91,2683.0,2632.8,2656.3,1390536.4,3694249941.64657,1986101
1727481600000,2024-09-28,ETHUSDT,2693.52,2703.3,2648.32,2673.9,1392948.05,3723908596.00055,1839875
1727395200000,2024-09-27,ETHUSDT,2631.16,2727.66,2614.22,2693.53,2373825.623,6342180731.2717,3189100
1727308800000,2024-09-26,ETHUSDT,2578.9,2666.17,2557.5,2631.11,2641065.13,6929873789.002729,3328794
1727222400000,2024-09-25,ETHUSDT,2652.0,2673.06,2552.44,2578.9,2133334.523,5567024562.929279,2797933
1727136000000,2024-09-24,ETHUSDT,2645.84,2669.94,2590.1,2652.0,2718085.708,7157361925.277241,3286318
1727049600000,2024-09-23,ETHUSDT,2579.95,2702.0,2538.24,2645.84,3118835.195,8258863620.460541,3944673
1726963200000,2024-09-22,ETHUSDT,2611.4,2633.3,2522.57,2579.94,1969445.1940000001,5079507048.41662,2567848
1726876800000,2024-09-21,ETHUSDT,2560.3,2623.85,2527.69,2611.4,1505216.371,3860209268.6061797,1968769
1726790400000,2024-09-20,ETHUSDT,2464.55,2572.18,2436.11,2560.29,3062258.119,7753088412.44312,3534413
1726704000000,2024-09-19,ETHUSDT,2373.93,2494.68,2371.37,2464.56,2948555.003,7171076241.07582,3370281
1726617600000,2024-09-18,ETHUSDT,2340.59,2376.0,2275.25,2373.93,2861908.683,6635180765.57796,3408011
1726531200000,2024-09-17,ETHUSDT,2294.61,2392.62,2262.0,2340.59,2616421.538,6111066521.55576,2954820
1726444800000,2024-09-16,ETHUSDT,2314.85,2334.9,2251.06,2294.61,2822059.425,6460692525.60421,3278768
1726358400000,2024-09-15,ETHUSDT,2416.65,2429.44,2282.0,2314.85,1664319.311,3940360052.6183205,1854980
1726272000000,2024-09-14,ETHUSDT,2438.16,2439.61,2373.82,2416.65,1075037.045,2596020589.3281803,1367830
1726185600000,2024-09-13,ETHUSDT,2360.79,2463.77,2336.2,2438.15,2314979.037,5530067659.02683,2668001
1726099200000,2024-09-12,ETHUSDT,2339.18,2392.0,2313.16,2360.79,2141666.211,5033942160.06787,2545405
1726012800000,2024-09-11,ETHUSDT,2387.63,2388.39,2275.8,2339.22,3136148.113,7306678946.31927,3409399
1725926400000,2024-09-10,ETHUSDT,2358.19,2399.99,2319.09,2387.63,2148101.375,5054995341.92923,2565583
1725840000000,2024-09-09,ETHUSDT,2295.9,2382.51,2271.22,2358.19,2933575.518,6805916507.207621,3320754
1725753600000,2024-09-08,ETHUSDT,2272.21,2333.98,2238.88,2295.89,1933824.754,4415720059.77657,2156598
1725667200000,2024-09-07,ETHUSDT,2223.7,2310.0,2220.76,2272.21,1832770.243,4165135636.9669795,2210828
1725580800000,2024-09-06,ETHUSDT,2367.33,2409.34,2150.0,2223.7,5476018.437999999,12547525242.00458,5360447
1725494400000,2024-09-05,ETHUSDT,2449.67,2465.23,2346.05,2367.37,2611081.826,6245550694.43367,3107916
1725408000000,2024-09-04,ETHUSDT,2424.05,2489.34,2304.87,2449.67,3391129.709,8140965676.04585,3931605
1725321600000,2024-09-03,ETHUSDT,2536.76,2552.55,2405.14,2424.05,2052035.733,5085212466.24925,2614090
1725235200000,2024-09-02,ETHUSDT,2424.55,2564.49,2421.8,2536.74,2289999.119,5708121980.456671,2837354
1725148800000,2024-09-01,ETHUSDT,2511.91,2514.97,2397.23,2424.55,2295800.358,5659435689.68286,2855543
1725062400000,2024-08-31,ETHUSDT,2524.99,2533.29,2490.62,2511.91,785832.801,1976386313.99828,1248851
1724976000000,2024-08-30,ETHUSDT,2526.28,2552.32,2431.0,2524.99,2705396.131,6752794214.889111,3350073
1724889600000,2024-08-29,ETHUSDT,2527.32,2594.0,2504.11,2526.28,2156748.728,5495665085.87916,2978686
1724803200000,2024-08-28,ETHUSDT,2455.98,2554.19,2416.56,2527.31,3674708.436,9159321788.05102,4369848
1724716800000,2024-08-27,ETHUSDT,2679.26,2699.11,2388.0,2455.98,3836573.4289999995,9846501388.57358,4097936
1724630400000,2024-08-26,ETHUSDT,2744.48,2760.97,2665.0,2679.25,1907712.073,5184051187.20895,2553448
1724544000000,2024-08-25,ETHUSDT,2766.4,2791.66,2731.63,2744.47,1228055.898,3389709159.6244397,1753910
1724457600000,2024-08-24,ETHUSDT,2761.58,2819.35,2729.15,2766.4,2124349.317,5889986272.50161,2442380
1724371200000,2024-08-23,ETHUSDT,2622.0,2798.88,2619.86,2761.58,3288873.603,8851748788.1898,3726302
1724284800000,2024-08-22,ETHUSDT,2629.37,2644.0,2582.27,2622.0,1631635.639,4269132808.98035,2282787
